#         T:            mu:         sigma:             H:           err:
    0.157302       0.807475        0.76408      -0.325347     0.00967571
    0.155729       0.501173       0.897733      -0.268733     0.00772593
    0.154172       0.750826       0.613671      -0.435543     0.00231064
     0.15263       0.656899       0.889305      -0.246502      0.0108754
    0.151104       0.761592       0.870409      -0.185698      0.0132706
    0.149593       0.359637        1.14074     -0.0536663       0.020359
    0.148097       0.836942       0.712847      -0.367802     0.00701224
    0.146616       0.774131        0.59333       -0.43519     0.00221291
     0.14515       0.508049       0.629461      -0.205967     0.00391096
    0.143698       0.636588       0.708442       -0.35303      0.0038143
    0.142261       0.746255       0.495268      -0.289911     0.00758609
    0.140838       0.703871       0.667332      -0.405722     0.00263121
     0.13943       0.926281       0.580064      -0.373148     0.00331502
    0.138036       0.744004       0.697765      -0.405695      0.0047456
    0.136655       0.678426       0.688024      -0.380318     0.00318466
    0.135289       0.450215        1.14544     -0.0193032      0.0235845
    0.133936       0.481532       0.728405      -0.239654     0.00396358
    0.132597       0.614954       0.698184       -0.33724     0.00340294
    0.131271       0.462468       0.667454      -0.183172     0.00455158
    0.129958       0.881072       0.522367      -0.318289     0.00443591
    0.128658       0.555632       0.745436      -0.300967     0.00428547
    0.127372       0.646791        0.54748      -0.334556     0.00338997
    0.126098       0.643738       0.523058      -0.296558     0.00448419
    0.124837       0.756822       0.572791      -0.422766     0.00264632
    0.123589       0.973436       0.615597      -0.317729     0.00508965
    0.122353       0.929692       0.658068      -0.346128     0.00665471
    0.121129       0.714689       0.653072      -0.416906     0.00259398
    0.119918        1.02775       0.588969       -0.23631     0.00551715
    0.118719        0.85117       0.733631      -0.343984     0.00757418
    0.117532        0.62441       0.676299      -0.347809      0.0028609
    0.116356       0.673442       0.789262      -0.331264     0.00625532
    0.115193       0.226263       0.862959      -0.203314     0.00571681
    0.114041       0.603668       0.927535      -0.228705      0.0110543
      0.1129       0.919141       0.692105      -0.327814     0.00784847
    0.111771       0.843477       0.584869      -0.429554     0.00256709
    0.110654       0.875308        0.65057      -0.405297     0.00481477
    0.109547       0.822738       0.772955       -0.30616     0.00998033
    0.108452       0.522793       0.677015      -0.255307     0.00336668
    0.107367       0.617371       0.703809      -0.346415     0.00333055
    0.106294       0.737504       0.549515      -0.400131     0.00414729
    0.105231       0.752256       0.557124      -0.409202     0.00358762
    0.104178       0.711001        0.54644      -0.373685     0.00350283
    0.103137       0.734687        0.86083      -0.239105      0.0107902
    0.102105       0.482106       0.864679      -0.277762     0.00545328
    0.101084       0.229473       0.927187      -0.237326     0.00511618
    0.100073       0.226614        1.13372       -0.14238      0.0184162
   0.0990725       0.508897       0.784982      -0.281267     0.00460097
   0.0980818       0.615654       0.540424      -0.292703     0.00422689
    0.097101        0.87688        0.71796      -0.352126     0.00762711
     0.09613        0.70554       0.633911       -0.40927      0.0024085
   0.0951687       0.633647       0.559252      -0.323317      0.0033853
    0.094217        0.31528        1.06485      -0.214972      0.0118314
   0.0932748       0.139564        1.08994      -0.227317       0.011259
   0.0923421       0.225655        1.00728      -0.243574      0.0100356
   0.0914186       0.351175       0.978014      -0.257483     0.00786824
   0.0905044       0.609171       0.954512       -0.20749      0.0117884
   0.0895994       0.697276       0.713137      -0.387562     0.00403726
   0.0887034       0.702579       0.607206      -0.409955     0.00228906
   0.0878164       0.790757       0.570762      -0.423935     0.00368536
   0.0869382        0.65616       0.549608        -0.3401     0.00358798
   0.0860688       0.848684       0.718554      -0.381029     0.00661234
   0.0852081        0.54441       0.791378      -0.299026      0.0047799
   0.0843561       0.789959       0.719733      -0.390197     0.00536554
   0.0835125       0.927308       0.611757      -0.376789     0.00443418
   0.0826774       0.783102       0.541794      -0.389576     0.00400901
   0.0818506       0.517935       0.594027       -0.19471     0.00440969
   0.0810321       0.708557       0.573704      -0.404407     0.00280292
   0.0802218       0.707446       0.810496      -0.306373     0.00819502
   0.0794196       0.662593       0.509071      -0.281458     0.00511526
   0.0786254       0.640194       0.513904      -0.282001      0.0048139
   0.0778391       0.635074       0.674853      -0.359875     0.00291663
   0.0770607        0.72696        0.82873      -0.267627      0.0130307
   0.0762901       0.490006       0.603952      -0.158887     0.00468557
   0.0755272       0.839389        0.50326       -0.29481     0.00487233
   0.0747719       0.822961       0.664042      -0.425941     0.00400093
   0.0740242       0.651111       0.738605      -0.349917     0.00445963
    0.073284       0.886954       0.645057      -0.407263     0.00466027
   0.0725511       0.787534       0.596856      -0.440468     0.00230205
   0.0718256       0.638261       0.929909      -0.211057      0.0109163
   0.0711074       0.816973       0.691661      -0.408967     0.00461998
   0.0703963       0.803919       0.710887      -0.386932     0.00528926
   0.0696923       0.639568       0.645833      -0.365051     0.00266487
   0.0689954       0.829097       0.572415      -0.431824     0.00307464
   0.0683055       0.595593       0.611867      -0.307243      0.0037082
   0.0676224       0.745439       0.677732      -0.419256     0.00348524
   0.0669462       0.881167       0.631654      -0.420867     0.00338792
   0.0662767       0.777477       0.652458      -0.433518     0.00304968
   0.0656139       0.760692       0.737554      -0.380489     0.00497409
   0.0649578       0.835903       0.642262      -0.432654     0.00332869
   0.0643082       0.781392       0.656986      -0.436311     0.00362054
   0.0636651       0.688313       0.656285      -0.398266     0.00244032
   0.0630285       0.681673       0.695264      -0.384259     0.00350837
   0.0623982       0.509239       0.820611      -0.286697     0.00553417
   0.0617742       0.692791       0.825472      -0.301545     0.00944472
   0.0611565        0.80151       0.744179      -0.344413     0.00755882
