#  VELOCITY:   ACTUAL_POFV:   AVE_POFV:      ERROR:
      4.4312              0  0.00483408   0.0021418
     4.61976              0  0.00525692   0.0027649
     4.80833              0  0.00260118 0.000962824
     4.99689              0  0.00320544  0.00145108
     5.18545              0  0.00157271 0.000849027
     5.37401              0 0.000249615 0.000167882
     5.56257              0           0           0


   0.0942809              0  0.00365313  0.00118302
    0.282843      0.0153452   0.0295067   0.0030776
    0.471405       0.090819   0.0891197  0.00803734
    0.659966       0.205601    0.190951   0.0131625
    0.848528       0.257161    0.279505   0.0151554
     1.03709       0.288956    0.343155   0.0172214
     1.22565       0.544939    0.467935   0.0191457
     1.41421       0.570964    0.519375   0.0173507
     1.60278        0.43627    0.508294   0.0184252
     1.79134       0.550488    0.494277    0.012996
      1.9799       0.501972    0.467988   0.0170397
     2.16846       0.415916    0.381109    0.015206
     2.35702       0.480464    0.304176   0.0150676
     2.54558       0.280142    0.295146   0.0249529
     2.73415       0.215864     0.23593   0.0168423
     2.92271      0.0637869    0.187454   0.0144475
     3.11127        0.11601    0.166069   0.0125232
     3.29983       0.142109    0.120856   0.0087308
     3.48839      0.0396029   0.0728842  0.00769871
     3.67696      0.0520264   0.0633876  0.00625062
     3.86552      0.0279405   0.0366657  0.00491365
     4.05408     0.00692375   0.0220221  0.00422351
     4.24264              0  0.00705556  0.00204366
      4.4312              0  0.00457965  0.00204413
     4.61976              0  0.00498024  0.00263319
     4.80833              0  0.00246428  0.00092183
     4.99689              0  0.00303673  0.00138448
     5.18545              0  0.00148994 0.000808367
     5.37401              0 0.000236478  0.00015956
     5.56257              0           0           0


   0.0942809      0.0246014  0.00470054  0.00151832
    0.282843       0.047877   0.0304252  0.00305772
    0.471405      0.0990686   0.0896172  0.00765085
    0.659966       0.189298    0.190868   0.0125046
    0.848528       0.239262    0.277493   0.0145306
     1.03709       0.239336    0.337964   0.0171248
     1.22565       0.615698    0.475323    0.019562
     1.41421       0.513512    0.519081   0.0164856
     1.60278        0.46313    0.506036   0.0176418
     1.79134       0.475848    0.493356   0.0123788
      1.9799       0.673593    0.478268   0.0190379
     2.16846        0.36853     0.38048   0.0144587
     2.35702       0.300741    0.304004   0.0143152
     2.54558       0.302239    0.295501   0.0237078
     2.73415       0.229294    0.235598   0.0160035
     2.92271       0.174763     0.18682    0.013739
     3.11127      0.0750319    0.161517   0.0126974
     3.29983       0.112474    0.120436  0.00830431
     3.48839      0.0779045   0.0731352  0.00731787
     3.67696      0.0301502   0.0617258  0.00615505
     3.86552      0.0296101   0.0363129  0.00468061
     4.05408      0.0189789     0.02187  0.00401508
     4.24264     0.00235702  0.00682063  0.00195493
      4.4312              0  0.00435067  0.00195471
     4.61976              0  0.00473123  0.00251327
     4.80833              0  0.00234106 0.000883935
     4.99689              0   0.0028849  0.00132356
     5.18545              0  0.00141544 0.000771373
     5.37401              0 0.000224654 0.000152019
     5.56257              0           0           0


