#     GEN:            L2:          <L2>:
       939        55.1929        55.7628
       940        55.1929        55.7543
       941        55.1929        55.7598
       942        55.1929        56.9709
       943        55.1929        56.1052
       944        55.1929        56.5074
       945        55.1929        58.9419
       946        55.1929        55.9727
       947        55.1929        56.0162
       948        55.1929        56.4826
       949        55.1929        56.7799
       950        55.1929        55.5125
       951        55.1929        55.3033
       952        55.1929        55.8117
       953        55.1929        55.9107
       954        55.1929        55.1929
       955        55.1929        55.2546
       956        55.1929        55.6193
       957        55.1929        55.3738
       958        55.1929        55.1943
       959        55.1929        55.2311
       960        55.1929        55.1929
       961        55.1929         55.731
       962        55.1929        55.9331
       963        55.1929        55.2211
       964        55.1929        55.3694
       965        55.1929        55.5061
       966        55.1929        55.9089
       967        55.1929        56.0283
       968        55.1929        56.9637
       969        55.1929        55.5182
       970        55.1929        55.3093
       971        55.1929        55.5803
       972        55.1929        55.4339
       973        55.1929        55.1929
       974        55.1929        55.4087
       975        55.1929        56.2977
       976        55.1929        56.2766
       977        55.1929        55.4446
       978        55.1929        55.3767
       979        55.1929        56.0106
       980        55.1929        55.5455
       981        55.1929         55.273
       982        55.1929        55.4557
       983        55.1929        56.2219
       984        55.1929        55.2347
       985        55.1929        55.8449
       986        55.1929        55.6197
       987        55.1929        55.7214
       988        55.1929        55.4967
       989        55.1929        56.9399
       990        55.1929        55.6429
       991        55.1929        55.5676
       992        55.1929        55.5941
       993        55.1929        55.7977
       994        55.1929        55.8559
       995        55.1929         55.309
       996        55.1929         55.383
       997        55.1929        55.2327
       998        55.1929         55.266
       999        55.1929        55.1929
      1000        55.1929        55.1929
