#  DISTANCE:   ACTUAL_GOFR:   AVE_GOFR:      ERROR:
     2.42389       0.932212    0.929686  0.00176983
     2.44954       0.927573    0.920457  0.00239272
     2.47519       0.916003    0.911878  0.00330452
     2.50084       0.905308    0.899632  0.00348893
     2.52649       0.895474    0.889847  0.00188359
     2.55214       0.891987    0.890788 0.000543875


   0.0128248              0           0           0
   0.0384745              0           0           0
   0.0641241              0           0           0
   0.0897737              0           0           0
    0.115423              0           0           0
    0.141073              0           0           0
    0.166723              0           0           0
    0.192372              0           0           0
    0.218022              0           0           0
    0.243672              0           0           0
    0.269321              0           0           0
    0.294971              0           0           0
     0.32062              0           0           0
     0.34627              0           0           0
     0.37192              0           0           0
    0.397569              0           0           0
    0.423219              0           0           0
    0.448869              0           0           0
    0.474518              0           0           0
    0.500168              0           0           0
    0.525818              0           0           0
    0.551467              0           0           0
    0.577117              0           0           0
    0.602767              0           0           0
    0.628416              0           0           0
    0.654066              0           0           0
    0.679715              0           0           0
    0.705365              0           0           0
    0.731015              0           0           0
    0.756664              0           0           0
    0.782314              0           0           0
    0.807964              0           0           0
    0.833613              0           0           0
    0.859263              0 2.91784e-05  2.6098e-05
    0.884913    0.000641936  0.00138475 0.000211281
    0.910562      0.0227356   0.0251001   0.0007088
    0.936212       0.169516    0.168901  0.00240755
    0.961861       0.555799    0.570368  0.00500984
    0.987511        1.19489     1.20601  0.00410131
     1.01316        1.83325     1.86818  0.00826188
     1.03881        2.32154     2.33508    0.004218
     1.06446        2.52813     2.55383  0.00773265
     1.09011        2.53795     2.53321  0.00820007
     1.11576        2.40447     2.40733   0.0049991
     1.14141        2.20885     2.19104  0.00480106
     1.16706        1.99224     1.97476  0.00424398
     1.19271        1.76302     1.75974  0.00547445
     1.21836        1.56265     1.55483  0.00391053
     1.24401        1.39602     1.39033   0.0037013
     1.26966        1.25374     1.23954  0.00442897
     1.29531        1.12807     1.12267  0.00499364
     1.32096        1.02693     1.02278  0.00564486
     1.34661       0.935429    0.939464  0.00481068
     1.37226       0.876018    0.869412  0.00423665
     1.39791       0.817633    0.819408  0.00196062
     1.42355       0.779628    0.774635   0.0028595
      1.4492       0.745984    0.738352  0.00228874
     1.47485        0.70643    0.710286  0.00229723
      1.5005       0.693441    0.690558  0.00258822
     1.52615       0.677914    0.680137  0.00128427
      1.5518       0.665411    0.672527  0.00211875
     1.57745       0.672549    0.672102  0.00257067
      1.6031       0.669643    0.676275  0.00220508
     1.62875        0.68517     0.69004   0.0025987
      1.6544       0.706163    0.707118   0.0016262
     1.68005       0.720767    0.724971  0.00188281
      1.7057       0.755113    0.754757 0.000486457
     1.73135       0.785349    0.785208  0.00109839
       1.757       0.823014    0.819736 0.000822917
     1.78265       0.853636    0.854619  0.00221735
      1.8083       0.895962    0.895625  0.00153086
     1.83395       0.935239    0.942599  0.00242781
      1.8596       0.980953    0.980116  0.00228681
     1.88525        1.01358     1.01962  0.00464644
      1.9109        1.05754     1.05774  0.00342491
     1.93655        1.09097     1.09264   0.0025697
      1.9622        1.12632     1.12885   0.0033691
     1.98785         1.1643     1.15818  0.00159587
