#     GEN:            L2:          <L2>:
       821        61.2457        61.6431
       822        61.2457        61.6002
       823        61.2457        61.7367
       824        61.2457        62.1699
       825        61.2457        61.5752
       826        61.2457        61.3673
       827        61.2457        61.6232
       828        61.2457        61.8215
       829        61.2457        61.9457
       830        61.2457        62.0607
       831        61.2457        61.7041
       832        61.2457        61.3853
       833        61.2457        61.3567
       834        61.2457        61.4073
       835        61.2457        61.4102
       836        61.2457        61.4444
       837        61.2457        61.5143
       838        61.2457        61.3707
       839        61.2457        61.3526
       840        61.2457        61.5836
       841        61.2457        62.2261
       842        61.2457        61.8976
       843        61.2457        61.6351
       844        61.2457        61.6202
       845        61.2457        61.8414
       846        61.2457        61.8074
       847        61.2457        61.5963
       848        61.2457        61.6195
       849        61.2457        61.6737
       850        61.2457        61.5616
       851        61.2457        61.4268
       852        61.2457        61.5087
       853        61.2457        61.6099
       854        61.2457        61.7284
       855        61.2457         62.091
       856        61.2457        61.9422
       857        61.2457        62.0399
       858        61.2457        61.9864
       859        61.2457        61.5859
       860        61.2457         61.579
       861        61.2457        61.4186
       862        61.2457         61.372
       863        61.2457        61.3609
       864        61.2457        61.5048
       865        61.2457        61.5672
       866        61.2457        61.9108
       867        61.2457        61.9882
       868        61.2457        62.0891
       869        61.2457        61.5534
       870        61.2457        61.8675
       871        61.2457        61.5983
       872        61.2457        61.6237
       873        61.2457         61.492
       874        61.2457        61.5785
       875        61.2457        61.8454
       876        61.2457        61.8102
       877        61.2457        61.5825
       878        61.2457        61.4269
       879        61.2457        61.3636
       880        61.2457        61.4961
       881        61.2457        61.4293
       882        61.2457         61.508
       883        61.2457        61.4199
       884        61.2457        61.3355
       885        61.2457        61.3319
       886        61.2457        61.3774
       887        61.2457        61.4179
       888        61.2457        61.5278
       889        61.2457        61.5354
       890        61.2457        61.7959
       891        61.2457        61.5125
       892        61.2457        61.5275
       893        61.2457        61.4864
       894        61.2457        61.4457
       895        61.2457        61.6091
       896        61.2457        61.6118
       897        61.2457        61.8175
       898        61.2457        61.7376
       899        61.2457        62.0551
       900        61.2457        61.5381
       901        61.2457        61.7602
       902        61.2457        61.9296
       903        61.2457        61.3733
       904        61.2457        61.6307
       905        61.2457        61.7743
       906        61.2457        61.9942
       907        61.2457        61.7572
       908        61.2457        61.7052
       909        61.2457        61.5153
       910        61.2457        61.4899
       911        61.2457        61.3754
       912        61.2457        61.2706
       913        61.2457         61.492
       914        61.2457        61.3509
       915        61.2457        61.5825
       916        61.2457        61.4274
       917        61.2457         61.763
       918        61.2457        61.5756
       919        61.2457         61.562
       920        61.2457        61.6597
       921        61.2457        61.6803
       922        61.2457        62.1758
       923        61.2457        62.3784
       924        61.2457        62.2104
       925        61.2457        61.7051
       926        61.2457        61.7835
       927        61.2457        61.7259
       928        61.2457        61.6634
       929        61.2457        61.7788
       930        61.2457        61.7695
       931        61.2457        61.5427
       932        61.2457        61.5546
       933        61.2457        61.4218
       934        61.2457        61.7041
       935        61.2457        61.4763
       936        61.2457        61.5962
       937        61.2457        61.9969
       938        61.2457        61.7927
       939        61.2457        61.7127
       940        61.2457        61.5817
       941        61.2457        61.9265
       942        61.2457        61.7977
       943        61.2457        61.9975
       944        61.2457        61.6293
       945        61.2457         61.608
       946        61.2457        61.8163
       947        61.2457        61.6046
       948        61.2457        61.5919
       949        61.2457        61.6428
       950        61.2457        61.5045
       951        61.2457        61.5608
       952        61.2457        61.5535
       953        61.2457        61.4245
       954        61.2457        61.5784
       955        61.2457        61.4716
       956        61.2457        61.7025
       957        61.2457        61.7543
       958        61.2457        61.7603
       959        61.2457        61.5822
       960        61.2457        61.6687
       961        61.2457        62.0201
       962        61.2457        61.6576
       963        61.2457        62.1674
       964        61.2457        62.1251
       965        61.2457        61.9824
       966        61.2457        62.2473
       967        61.2457        62.0687
       968        61.2457        62.1938
       969        61.2457        61.8518
       970        61.2457        61.7068
       971        61.2457        61.4687
       972        61.2457        61.4193
       973        61.2457        61.2893
       974        61.2457        61.3522
       975        61.2457        61.4598
       976        61.2457        61.4267
       977        61.2457        61.5255
       978        61.2457        61.8288
       979        61.2457        61.8045
       980        61.2457        61.7184
       981        61.2457        61.5975
       982        61.2457        61.7429
       983        61.2457        62.0442
       984        61.2457        61.6547
       985        61.2457        61.8846
       986        61.2457        62.2305
       987        61.2457        61.9644
       988        61.2457        61.8962
       989        61.2457        62.6995
       990        61.2457        62.0066
       991        61.2457         61.858
       992        61.2457        61.9914
       993        61.2457        61.8314
       994        61.2457        62.4843
       995        61.2457        61.7989
       996        61.2457        61.5097
       997        61.2457        61.5599
       998        61.2457        61.5967
       999        61.2457        61.6234
      1000        61.2457        61.7683
