#  DISTANCE:   ACTUAL_GOFR:   AVE_GOFR:      ERROR:
     2.32129        1.01116     1.00494  0.00581325
     2.34694       0.960749    0.969732  0.00737797
     2.37259       0.962695    0.953502  0.00878922
     2.39824       0.946533    0.936825  0.00705685
     2.42389       0.930293      0.9198  0.00700514
     2.44954       0.908046    0.899907  0.00277408
     2.47519       0.902159    0.902019  0.00353453
     2.50084       0.930616    0.902212  0.00527519
     2.52649       0.905909     0.89594  0.00456241
     2.55214       0.907363    0.899056  0.00341739


   0.0128248              0           0           0
   0.0384745              0           0           0
   0.0641241              0           0           0
   0.0897737              0           0           0
    0.115423              0           0           0
    0.141073              0           0           0
    0.166723              0           0           0
    0.192372              0           0           0
    0.218022              0           0           0
    0.243672              0           0           0
    0.269321              0           0           0
    0.294971              0           0           0
     0.32062              0           0           0
     0.34627              0           0           0
     0.37192              0           0           0
    0.397569              0           0           0
    0.423219              0           0           0
    0.448869              0           0           0
    0.474518              0           0           0
    0.500168              0           0           0
    0.525818              0           0           0
    0.551467              0           0           0
    0.577117              0           0           0
    0.602767              0           0           0
    0.628416              0           0           0
    0.654066              0           0           0
    0.679715              0           0           0
    0.705365              0           0           0
    0.731015              0           0           0
    0.756664              0           0           0
    0.782314              0           0           0
    0.807964              0           0           0
    0.833613              0           0           0
    0.859263              0           0           0
    0.884913     0.00119217  0.00135838 0.000275347
    0.910562      0.0262867   0.0266277 0.000950958
    0.936212       0.181765    0.172967  0.00239663
    0.961861       0.552655    0.575461  0.00582125
    0.987511        1.20461      1.2171  0.00907791
     1.01316        1.90947     1.87375   0.0103614
     1.03881        2.45756      2.3243   0.0231213
     1.06446         2.5383     2.56427   0.0109011
     1.09011        2.54176      2.5555    0.016694
     1.11576        2.36357     2.40408   0.0131796
     1.14141        2.18831     2.18617  0.00939238
     1.16706        1.92694     1.93369   0.0121422
     1.19271        1.73384     1.71988    0.012432
     1.21836        1.56713     1.55525   0.0127483
     1.24401        1.36674     1.38823   0.0106095
     1.26966        1.19077     1.23054   0.0109718
     1.29531        1.10002     1.11839   0.0121966
     1.32096        1.00598      1.0299  0.00724442
     1.34661        0.93133    0.949718  0.00558083
     1.37226       0.855176    0.880542  0.00771324
     1.39791       0.793396    0.819045  0.00694846
     1.42355       0.752217    0.783746  0.00625105
      1.4492       0.749711     0.74283  0.00876936
     1.47485       0.747847    0.727136  0.00729147
      1.5005       0.720362    0.701842  0.00525044
     1.52615       0.693978    0.697377  0.00403292
